ICAO	city
EDLS	Stadtlohn Wenningfeld
EDLT	Muenster Telgte
EDLW	Dortmund Wickede
EDLX	Wesel Romerwardt
EDLY	Borken Hoxfeld
EDLZ	Soest Bad Sassendorf
EDMA	Augsburg
EDMB	Biberach A.D. Riss
EDMC	Blaubeuren
EDMD	Dachau Grobenried
EDME	Eggenfelden
EDMF	Furstenzell
EDMG	Gunzburg Donauried
EDMH	Gunzenhausen Reutberg
EDMI	Illertissen
EDMJ	Jesenwang
EDMK	Kempten Durach
EDML	Landshut
EDMN	Mindelheim Mattsies
EDMO	Oberpfaffenhofen
EDMP	Vilsbiburg
EDMQ	Donauworth Genderkingen
EDMS	Straubing Wallmunde
EDMT	Tannheim
EDMU	Gundelfingen
EDMV	Vilshofen
EDMW	Deggendorf
EDMY	Muhldorf
EDNA	Ampfing Waldkraiburg
EDNB	Arnbruck
EDNC	Beilngries
EDND	Dinkelsbuehl Sinnbronn
EDNE	Erbach
EDNF	Elsenthal Grafenau
EDNG	Giengen Brenz
EDNH	Bad Worishofen Nord
EDNJ	Neuburg Egweil
EDNK	Kirchdorf Inn
EDNL	Leutkirch Unterzeil
EDNM	Nittenau Bruck
EDNO	Nordlingen
EDNP	Pfarrkirchen
EDNQ	Bopfingen
EDNR	Regensburg Oberhub
EDNS	Schwabmuenchen
